"path","source_name","readable_name","title","local_url"
"docs\op-card-faq\terms-conditions\terms-and-conditions\index.mdx","attachment-25.pdf","Terms and Conditions of the Oceanpayment Card_20251128163242.pdf","Terms and Conditions of the Oceanpayment Card_20251128163242","/files/help-center/wordpress-attachments-en/Terms and Conditions of the Oceanpayment Card_20251128163242.pdf"
"docs\payment-faq\account-transfer\account-funds-and-reconciliation\index.mdx","attachment-15.pdf","Guideline of Reconciliation.pdf","Guideline of Reconciliation","/files/help-center/wordpress-attachments-en/Guideline of Reconciliation.pdf"
"docs\payment-faq\account-transfer\opasst-guideline\index.mdx","attachment-16.pdf","Oceanpayment-OPASST Guideline.pdf","Oceanpayment-OPASST Guideline","/files/help-center/wordpress-attachments-en/Oceanpayment-OPASST Guideline.pdf"
"docs\payment-faq\common-questions\chargeback-fraud-retrieval-orders\index.mdx","attachment-08.pdf","Oceanpayment-Chargeback Process Guidelines.pdf","Oceanpayment-Chargeback Process Guidelines","/files/help-center/wordpress-attachments-en/Oceanpayment-Chargeback Process Guidelines.pdf"
"docs\payment-faq\common-questions\chargeback-fraud-retrieval-orders\index.mdx","attachment-09.pdf","Oceanpayment-Retrieval Process Guidelines.pdf","Oceanpayment-Retrieval Process Guidelines","/files/help-center/wordpress-attachments-en/Oceanpayment-Retrieval Process Guidelines.pdf"
"docs\payment-faq\common-questions\chargeback-fraud-retrieval-orders\index.mdx","attachment-10.pdf","Oceanpayment-Fraud process Guidelines.pdf","Oceanpayment-Fraud process Guidelines","/files/help-center/wordpress-attachments-en/Oceanpayment-Fraud process Guidelines.pdf"
"docs\payment-faq\common-questions\ideal-merchant-operation-notes\index.mdx","attachment-24.pdf","iDEAL Operational Details For The Merchant Side.pdf","iDEAL Operational Details For The Merchant Side","/files/help-center/wordpress-attachments-en/iDEAL Operational Details For The Merchant Side.pdf"
"docs\payment-faq\common-questions\klarna-consumer-bill-sample\index.mdx","attachment-23.pdf","Klarna Bill Sample on the Customer-End 2025-04-03.pdf","Klarna Bill Sample on the Customer-End 2025-04-03","/files/help-center/wordpress-attachments-en/Klarna Bill Sample on the Customer-End 2025-04-03.pdf"
"docs\payment-faq\common-questions\reduce-fraudulent-chargeback-transactions\index.mdx","attachment-03.pdf","Oceanpayment - Risk Control - Prevention and Control of Fraudulent Transactions 2022-02-24.pdf","Oceanpayment - Risk Control - Prevention and Control of Fraudulent Transactions 2022-02-24","/files/help-center/wordpress-attachments-en/Oceanpayment - Risk Control - Prevention and Control of Fraudulent Transactions 2022-02-24.pdf"
"docs\payment-faq\common-questions\uk-klarna-advertising-requirements\index.mdx","attachment-19.pdf","Oceanpayment——UK-regulatory-requirements-for-advertising-Klarna-240131.pdf","Oceanpayment——UK-regulatory-requirements-for-advertising-Klarna-240131","/files/help-center/wordpress-attachments-en/Oceanpayment——UK-regulatory-requirements-for-advertising-Klarna-240131.pdf"
"docs\payment-faq\info-update\japan-credit-card-security-guidelines-5\index.mdx","attachment-13.pdf","Implementation of Japan Credit Card Security Guidelines 5.0.pdf","Implementation of Japan Credit Card Security Guidelines 5.0","/files/help-center/wordpress-attachments-en/Implementation of Japan Credit Card Security Guidelines 5.0.pdf"
"docs\payment-faq\info-update\mastercard-chargeback-assessment-criteria\index.mdx","attachment-06.pdf","【风控】Oceanpayment——MasterCard Chargeback Assessment Standards 2025-04-10.pdf","【风控】Oceanpayment——MasterCard Chargeback Assessment Standards 2025-04-10","/files/help-center/wordpress-attachments-en/【风控】Oceanpayment——MasterCard Chargeback Assessment Standards 2025-04-10.pdf"
"docs\payment-faq\info-update\mastercard-chargeback-reason-update\index.mdx","attachment-11.pdf","Update on Mastercard Chargeback Reasons.pdf","Update on Mastercard Chargeback Reasons","/files/help-center/wordpress-attachments-en/Update on Mastercard Chargeback Reasons.pdf"
"docs\payment-faq\info-update\visa-vamp-policy\index.mdx","attachment-14.pdf","Oceanpayment VAMP Enhancements and Retirement of VDMP and VFMP 2025-06-25.pdf","Oceanpayment VAMP Enhancements and Retirement of VDMP and VFMP 2025-06-25","/files/help-center/wordpress-attachments-en/Oceanpayment VAMP Enhancements and Retirement of VDMP and VFMP 2025-06-25.pdf"
"docs\products-services\oceanpayment-products\oceanpayment-recurring-introduction\index.mdx","attachment-12.pdf","Oceanpayment Recurring Payment Introduction 2025-04-03.pdf","Oceanpayment Recurring Payment Introduction 2025-04-03","/files/help-center/wordpress-attachments-en/Oceanpayment Recurring Payment Introduction 2025-04-03.pdf"
"i18n\en\docusaurus-plugin-content-docs\current\compliance-certification\access-compliance\prohibited-and-restricted-businesses\index.mdx","attachment-26.pdf","Oceanpayment——Introduction of Prohibited Business.pdf","Oceanpayment——Introduction of Prohibited Business","/files/help-center/wordpress-attachments-en/Oceanpayment——Introduction of Prohibited Business.pdf"
"i18n\en\docusaurus-plugin-content-docs\current\payment-faq\common-questions\klarna-dispute-improvement-guide\index.mdx","attachment-21.pdf","Oceanpayment-Klarna Dispute Resolution Guideline.pdf","Oceanpayment-Klarna Dispute Resolution Guideline","/files/help-center/wordpress-attachments-en/Oceanpayment-Klarna Dispute Resolution Guideline.pdf"