"status","old_category","old_category_order","source_order","title","current_action","target_path","attachment_title","attachment_type","attachment_url","duplicate_check","local_backup","review_copy","size","content_type","error"
"downloaded","Account Login FAQs","1","1","ODPM Digital Platform Guideline","skip-review","i18n/en/docusaurus-plugin-content-docs/current/odpm-guide/section-guide/digital-platform-guidelines-manual/index.mdx","Oceanpayment ODPM Digital Platform Guidelines Manual","pdf","https://support.oceanpayment.com/en/wp-content/uploads/2025/06/Oceanpayment-ODPM%20Digital%20Platform%20Guidelines%20Manual.pdf","英文 ODPM 已有 digital-platform-guidelines-manual，不重复导入。","static/files/help-center/wordpress-attachments-en/attachment-01.pdf","migration/review/attachments-en/01 - Account Login FAQs - ODPM Digital Platform Guideline - Oceanpayment ODPM Digital Platform Guidelines Manual.pdf","8365669","application/pdf",""
"downloaded","Credit Card Acquiring FAQs","2","5","Merchant Batch Representment Submission Guide","skip-review","","Oceanpayment-Merchant Batch Representment Submission Guide","pdf","http://support.oceanpayment.com/en/wp-content/uploads/2025/10/Oceanpayment-Merchant-Batch-Representment-Submission-Guide.pdf","ODPM/representment operation attachment. Review against existing migrated ODPM manuals before adding.","static/files/help-center/wordpress-attachments-en/attachment-02.pdf","migration/review/attachments-en/02 - Credit Card Acquiring FAQs - Merchant Batch Representment Submission Guide - Oceanpayment-Merchant Batch Representment Submission Guide.pdf","1879222","application/pdf",""
"downloaded","Credit Card Acquiring FAQs","3","6","How to reduce the incidence of fraudulent and chargeback transactions?","english-only","i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/reduce-fraudulent-chargeback-transactions/index.mdx","Oceanpayment - Risk Control - Prevention and Control of Fraudulent Transactions 2022-02-24","pdf","https://support.oceanpayment.com/en/wp-content/uploads/2025/06/Oceanpayment-Risk-Control-Prevention-and-Control-of-Fraudulent-Transactions-2022-02-24.pdf","新增英文-only 页面，需确认附件是否仍需保留。","static/files/help-center/wordpress-attachments-en/attachment-03.pdf","migration/review/attachments-en/03 - Credit Card Acquiring FAQs - How to reduce the incidence of fraudulent and chargeback transactions- - Oceanpayment - Risk Control - Prevention and Control of Fraudulent Transactions 2022-02-24.pdf","1303512","application/pdf",""
"downloaded","Credit Card Acquiring FAQs","4","7","How to add a blacklist or whitelist in ODPM?","skip-review","","ODPM Digital Platform Blacklist Operation Manual 2025 06 06","pdf","https://support.oceanpayment.com/en/wp-content/uploads/2025/06/ODPM-Digital-Platform-Blacklist-Operation-Manual-2025-06-06.pdf","英文 ODPM 已有 blacklist-operation-manual / whitelist-operation-manual。","static/files/help-center/wordpress-attachments-en/attachment-04.pdf","migration/review/attachments-en/04 - Credit Card Acquiring FAQs - How to add a blacklist or whitelist in ODPM- - ODPM Digital Platform Blacklist Operation Manual 2025 06 06.pdf","1053782","application/pdf",""
"downloaded","Credit Card Acquiring FAQs","4","7","How to add a blacklist or whitelist in ODPM?","skip-review","","ODPM Digital Platform Whitelist Operation Manual 2025 06 06","pdf","https://support.oceanpayment.com/en/wp-content/uploads/2025/06/ODPM-Digital-Platform-Whitelist-Operation-Manual-2025-06-06.pdf","英文 ODPM 已有 blacklist-operation-manual / whitelist-operation-manual。","static/files/help-center/wordpress-attachments-en/attachment-05.pdf","migration/review/attachments-en/05 - Credit Card Acquiring FAQs - How to add a blacklist or whitelist in ODPM- - ODPM Digital Platform Whitelist Operation Manual 2025 06 06.pdf","1177221","application/pdf",""
"downloaded","Credit Card Acquiring FAQs","8","11","Mastercard Chargeback Assessment Criteria","migrated","i18n/en/docusaurus-plugin-content-docs/current/payment-faq/info-update/mastercard-chargeback-assessment-criteria/index.mdx","【风控】Oceanpayment——MasterCard Chargeback Assessment Standards 2025-04-10","pdf","https://support.oceanpayment.com/en/wp-content/uploads/2025/05/【风控】Oceanpayment——MasterCard-Chargeback-Assessment-Standards-2025-04-10.pdf","Rule update; place in info update section.","static/files/help-center/wordpress-attachments-en/attachment-06.pdf","migration/review/attachments-en/06 - Credit Card Acquiring FAQs - Mastercard Chargeback Assessment Criteria - 【风控】Oceanpayment——MasterCard Chargeback Assessment Standards 2025-04-10.pdf","577632","application/pdf",""
"downloaded","Credit Card Acquiring FAQs","9","12","Why do I get high-risk order alert emails? How do I handle it?","migrated","i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/high-risk-order-alert-email/index.mdx","ODPM Digital Platform High Fraud Risk Alert Manual 2025 04 10","pdf","https://support.oceanpayment.com/en/wp-content/uploads/2025/05/ODPM-Digital-Platform-High-Fraud-Risk-Alert-Manual-2025-04-10.pdf","Matches migrated Chinese payment FAQ.","static/files/help-center/wordpress-attachments-en/attachment-07.pdf","migration/review/attachments-en/07 - Credit Card Acquiring FAQs - Why do I get high-risk order alert emails- How do I handle it- - ODPM Digital Platform High Fraud Risk Alert Manual 2025 04 10.pdf","621001","application/pdf",""
"downloaded","Credit Card Acquiring FAQs","10","13","What is a Chargeback/Retrieval/Fraud order? How should it be handled?","migrated","i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/chargeback-fraud-retrieval-orders/index.mdx","Oceanpayment-Chargeback Process Guidelines","pdf","https://support.oceanpayment.com/en/wp-content/uploads/2025/05/Oceanpayment-Chargeback-Process-Guidelines.pdf","Matches migrated Chinese payment FAQ.","static/files/help-center/wordpress-attachments-en/attachment-08.pdf","migration/review/attachments-en/08 - Credit Card Acquiring FAQs - What is a Chargeback-Retrieval-Fraud order- How should it be handled- - Oceanpayment-Chargeback Process Guidelines.pdf","1924263","application/pdf",""
"downloaded","Credit Card Acquiring FAQs","10","13","What is a Chargeback/Retrieval/Fraud order? How should it be handled?","migrated","i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/chargeback-fraud-retrieval-orders/index.mdx","Oceanpayment-Retrieval Process Guidelines","pdf","https://support.oceanpayment.com/en/wp-content/uploads/2025/05/Oceanpayment-Retrieval-Process-Guidelines.pdf","Matches migrated Chinese payment FAQ.","static/files/help-center/wordpress-attachments-en/attachment-09.pdf","migration/review/attachments-en/09 - Credit Card Acquiring FAQs - What is a Chargeback-Retrieval-Fraud order- How should it be handled- - Oceanpayment-Retrieval Process Guidelines.pdf","1887036","application/pdf",""
"downloaded","Credit Card Acquiring FAQs","10","13","What is a Chargeback/Retrieval/Fraud order? How should it be handled?","migrated","i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/chargeback-fraud-retrieval-orders/index.mdx","Oceanpayment-Fraud process Guidelines","pdf","https://support.oceanpayment.com/en/wp-content/uploads/2025/05/Oceanpayment-Fraud-process-Guidelines.pdf","Matches migrated Chinese payment FAQ.","static/files/help-center/wordpress-attachments-en/attachment-10.pdf","migration/review/attachments-en/10 - Credit Card Acquiring FAQs - What is a Chargeback-Retrieval-Fraud order- How should it be handled- - Oceanpayment-Fraud process Guidelines.pdf","1520366","application/pdf",""
"downloaded","Credit Card Acquiring FAQs","11","14","Update on Mastercard Chargeback Reasons","migrated","i18n/en/docusaurus-plugin-content-docs/current/payment-faq/info-update/mastercard-chargeback-reason-update/index.mdx","Update on Mastercard Chargeback Reasons","pdf","https://support.oceanpayment.com/en/wp-content/uploads/2025/04/Update-on-Mastercard-Chargeback-Reasons.pdf","Rule update; place in info update section.","static/files/help-center/wordpress-attachments-en/attachment-11.pdf","migration/review/attachments-en/11 - Credit Card Acquiring FAQs - Update on Mastercard Chargeback Reasons - Update on Mastercard Chargeback Reasons.pdf","910652","application/pdf",""
"downloaded","Credit Card Acquiring FAQs","12","15","Recurring Payment Introduction","migrated","i18n/en/docusaurus-plugin-content-docs/current/products-services/oceanpayment-products/oceanpayment-recurring-introduction/index.mdx","Oceanpayment Recurring Payment Introduction 2025-04-03","pdf","https://support.oceanpayment.com/en/wp-content/uploads/2025/04/Oceanpayment-Recurring-Payment-Introduction-2025-04-03.pdf","Product/service introduction.","static/files/help-center/wordpress-attachments-en/attachment-12.pdf","migration/review/attachments-en/12 - Credit Card Acquiring FAQs - Recurring Payment Introduction - Oceanpayment Recurring Payment Introduction 2025-04-03.pdf","786083","application/pdf",""
"downloaded","Credit Card Acquiring FAQs","13","16","Implementation of Japan Credit Card Security Guidelines","migrated","i18n/en/docusaurus-plugin-content-docs/current/payment-faq/info-update/japan-credit-card-security-guidelines-5/index.mdx","Implementation of Japan Credit Card Security Guidelines 5.0","pdf","https://support.oceanpayment.com/en/wp-content/uploads/2025/03/Implementation-of-Japan-Credit-Card-Security-Guidelines-5.0.pdf","Rule update; place in info update section.","static/files/help-center/wordpress-attachments-en/attachment-13.pdf","migration/review/attachments-en/13 - Credit Card Acquiring FAQs - Implementation of Japan Credit Card Security Guidelines - Implementation of Japan Credit Card Security Guidelines 5.0.pdf","335454","application/pdf",""
"downloaded","Credit Card Acquiring FAQs","14","17","Visa’s monitoring programs updated-VAMP Enhancements and Retirement of VDMP and VFMP","migrated","i18n/en/docusaurus-plugin-content-docs/current/payment-faq/info-update/visa-vamp-policy/index.mdx","Oceanpayment VAMP Enhancements and Retirement of VDMP and VFMP 2025-06-25","pdf","http://support.oceanpayment.com/en/wp-content/uploads/2025/01/Oceanpayment-VAMP-Enhancements-and-Retirement-of-VDMP-and-VFMP-2025-06-25.pdf","Rule update; maps to the migrated Chinese VAMP policy page.","static/files/help-center/wordpress-attachments-en/attachment-14.pdf","migration/review/attachments-en/14 - Credit Card Acquiring FAQs - Visa’s monitoring programs updated-VAMP Enhancements and Retirement of VDMP and VFMP - Oceanpayment VAMP Enhancements and Retirement of VDMP and VFMP 2025-06-25.pdf","1755360","application/pdf",""
"downloaded","Funding Operation FAQs","3","20","How do I keep track of my account funds and reconcile them?","migrated","i18n/en/docusaurus-plugin-content-docs/current/payment-faq/account-transfer/account-funds-and-reconciliation/index.mdx","Guideline of Reconciliation","pdf","https://support.oceanpayment.com/en/wp-content/uploads/2025/05/Guideline-of-Reconciliation.pdf","Account/fund operation FAQ.","static/files/help-center/wordpress-attachments-en/attachment-15.pdf","migration/review/attachments-en/15 - Funding Operation FAQs - How do I keep track of my account funds and reconcile them- - Guideline of Reconciliation.pdf","1272747","application/pdf",""
"downloaded","Funding Operation FAQs","6","23","OPASST Guideline","english-only","i18n/en/docusaurus-plugin-content-docs/current/payment-faq/account-transfer/opasst-guideline/index.mdx","Oceanpayment-OPASST Guideline","pdf","https://support.oceanpayment.com/en/wp-content/uploads/2025/04/Oceanpayment-OPASST-Guideline.pdf","新增英文-only 页面；中文“成功交易资金如何进行结算？”已有 OPASST 附件链接，需运营确认是否重复。","static/files/help-center/wordpress-attachments-en/attachment-16.pdf","migration/review/attachments-en/16 - Funding Operation FAQs - OPASST Guideline - Oceanpayment-OPASST Guideline.pdf","2367629","application/pdf",""
"downloaded","Funding Operation FAQs","7","24","Guideline of OPCCOUNT","skip-existing","i18n/en/docusaurus-plugin-content-docs/current/odpm-guide/section-guide/opccount-guideline/index.mdx","Guideline of OPCCOUNT","pdf","https://support.oceanpayment.com/en/wp-content/uploads/2025/04/Guideline-of-OPCCOUNT.pdf","已存在 Guideline of OPCCOUNT-New，本轮不重复导入旧附件版。","static/files/help-center/wordpress-attachments-en/attachment-17.pdf","migration/review/attachments-en/17 - Funding Operation FAQs - Guideline of OPCCOUNT - Guideline of OPCCOUNT.pdf","3429810","application/pdf",""
"downloaded","Local Payments Acquiring FAQs","2","26","Klarna Merchant Operations Guide","skip-review","i18n/en/docusaurus-plugin-content-docs/current/odpm-guide/section-guide/klarna-payment-operations-guide/index.mdx","Ocenapayment ODPM - Operations Guide for Klarna Payment Method","docx","https://support.oceanpayment.com/en/wp-content/uploads/2025/06/Ocenapayment-ODPM-Operations-Guide-for-Klarna-Payment-Method.docx","英文 ODPM 已有 klarna-payment-operations-guide。","static/files/help-center/wordpress-attachments-en/attachment-18.docx","migration/review/attachments-en/18 - Local Payments Acquiring FAQs - Klarna Merchant Operations Guide - Ocenapayment ODPM - Operations Guide for Klarna Payment Method.docx","4820010","application/vnd.openxmlformats-officedocument.wordprocessingml.document",""
"downloaded","Local Payments Acquiring FAQs","3","27","UK Regulatory Requirements for Advertising Klarna","migrated","i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/uk-klarna-advertising-requirements/index.mdx","Oceanpayment——UK-regulatory-requirements-for-advertising-Klarna-240131","pdf","http://support.oceanpayment.com/en/wp-content/uploads/2025/06/Oceanpayment——UK-regulatory-requirements-for-advertising-Klarna-240131.pdf","Matches migrated Chinese payment FAQ.","static/files/help-center/wordpress-attachments-en/attachment-19.pdf","migration/review/attachments-en/19 - Local Payments Acquiring FAQs - UK Regulatory Requirements for Advertising Klarna - Oceanpayment——UK-regulatory-requirements-for-advertising-Klarna-240131.pdf","1133301","application/pdf",""
"downloaded","Local Payments Acquiring FAQs","4","28","Klarna Norway Newsletter Update","migrated","i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/klarna-norway-market-update/index.mdx","Klarna Norway Newsletter Update FAQ","docx","https://support.oceanpayment.com/wp-content/uploads/2024/08/Klarna-Norway-Newsletter-Update-FAQ.docx","Matches migrated Chinese payment FAQ.","static/files/help-center/wordpress-attachments-en/attachment-20.docx","migration/review/attachments-en/20 - Local Payments Acquiring FAQs - Klarna Norway Newsletter Update - Klarna Norway Newsletter Update FAQ.docx","12741","application/vnd.openxmlformats-officedocument.wordprocessingml.document",""
"downloaded","Local Payments Acquiring FAQs","5","29","Klarna Dispute Resolution Guideline","migrated","i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/klarna-dispute-improvement-guide/index.mdx","Oceanpayment-Klarna Dispute Resolution Guideline","pdf","https://support.oceanpayment.com/en/wp-content/uploads/2025/05/Oceanpayment-Klarna-Dispute-Resolution-Guideline.pdf","Matches migrated Chinese payment FAQ.","static/files/help-center/wordpress-attachments-en/attachment-21.pdf","migration/review/attachments-en/21 - Local Payments Acquiring FAQs - Klarna Dispute Resolution Guideline - Oceanpayment-Klarna Dispute Resolution Guideline.pdf","2131805","application/pdf",""
"downloaded","Local Payments Acquiring FAQs","6","30","Klarna’s APR Range Update for Consumers","english-only","i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/klarna-apr-range-update-for-consumers/index.mdx","Oceanpayment Klarnas APR Range Update for Consumers","pdf","https://support.oceanpayment.com/en/wp-content/uploads/2025/04/Oceanpayment-Klarnas-APR-Range-Update-for-Consumers.pdf","新增英文-only 页面，需确认附件是否仍需保留。","static/files/help-center/wordpress-attachments-en/attachment-22.pdf","migration/review/attachments-en/22 - Local Payments Acquiring FAQs - Klarna’s APR Range Update for Consumers - Oceanpayment Klarnas APR Range Update for Consumers.pdf","316124","application/pdf",""
"downloaded","Local Payments Acquiring FAQs","7","31","Klarna Bill Sample on the Customer","migrated","i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/klarna-consumer-bill-sample/index.mdx","Klarna Bill Sample on the Customer-End 2025-04-03","pdf","https://support.oceanpayment.com/en/wp-content/uploads/2025/04/Klarna-Bill-Sample-on-the-Customer-End-2025-04-03.pdf","Matches migrated Chinese payment FAQ.","static/files/help-center/wordpress-attachments-en/attachment-23.pdf","migration/review/attachments-en/23 - Local Payments Acquiring FAQs - Klarna Bill Sample on the Customer - Klarna Bill Sample on the Customer-End 2025-04-03.pdf","392149","application/pdf",""
"downloaded","Local Payments Acquiring FAQs","8","32","iDEAL Operational Details For The Merchant Side","migrated","i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/ideal-merchant-operation-notes/index.mdx","iDEAL Operational Details For The Merchant Side","pdf","https://support.oceanpayment.com/en/wp-content/uploads/2025/03/iDEAL-Operational-Details-For-The-Merchant-Side-1.pdf","Matches migrated Chinese payment FAQ.","static/files/help-center/wordpress-attachments-en/attachment-24.pdf","migration/review/attachments-en/24 - Local Payments Acquiring FAQs - iDEAL Operational Details For The Merchant Side - iDEAL Operational Details For The Merchant Side.pdf","883090","application/pdf",""
"downloaded","OP Card","1","33","Terms and Conditions","migrated","i18n/en/docusaurus-plugin-content-docs/current/op-card-faq/terms-conditions/terms-and-conditions/index.mdx","Terms and Conditions of the Oceanpayment Card_20251128163242","pdf","http://support.oceanpayment.com/en/wp-content/uploads/2025/12/Terms-and-Conditions-of-the-Oceanpayment-Card_20251128163242.pdf","OP Card terms page.","static/files/help-center/wordpress-attachments-en/attachment-25.pdf","migration/review/attachments-en/25 - OP Card - Terms and Conditions - Terms and Conditions of the Oceanpayment Card_20251128163242.pdf","149249","application/pdf",""
"downloaded","Products and Services","1","34","Oceanpayment Introduction of Prohibited Business","migrated","i18n/en/docusaurus-plugin-content-docs/current/compliance-certification/access-compliance/prohibited-and-restricted-businesses/index.mdx","Oceanpayment——Introduction of Prohibited Business","pdf","https://support.oceanpayment.com/en/wp-content/uploads/2025/06/Oceanpayment——Introduction-of-Prohibited-Business.pdf","Compliance/access content, not product-service content.","static/files/help-center/wordpress-attachments-en/attachment-26.pdf","migration/review/attachments-en/26 - Products and Services - Oceanpayment Introduction of Prohibited Business - Oceanpayment——Introduction of Prohibited Business.pdf","3740406","application/pdf",""
