"source_order","status","action","old_category","title","target_directory","candidate_slug","sidebar_position","wp_post_name","markdown_output","notes"
"95","publish","migrate","OP Card常见问题","我注册之后是否能够更改企业信息？","docs/op-card-faq/common-questions","change-company-information-after-registration","11","%e6%88%91%e6%b3%a8%e5%86%8c%e4%b9%8b%e5%90%8e%e6%98%af%e5%90%a6%e8%83%bd%e5%a4%9f%e6%9b%b4%e6%94%b9%e4%bc%81%e4%b8%9a%e4%bf%a1%e6%81%af%ef%bc%9f","migration/output/zh/custom/lsvr_kba/我注册之后是否能够更改企业信息？/index.md",""
"96","publish","migrate","OP Card常见问题","我可以将现有发卡帐户转移到不同的公司实体上吗？","docs/op-card-faq/common-questions","transfer-card-account-to-different-company","10","%e6%88%91%e5%8f%af%e4%bb%a5%e5%b0%86%e7%8e%b0%e6%9c%89%e5%8f%91%e5%8d%a1%e5%b8%90%e6%88%b7%e8%bd%ac%e7%a7%bb%e5%88%b0%e4%b8%8d%e5%90%8c%e7%9a%84%e5%85%ac%e5%8f%b8%e5%ae%9e%e4%bd%93%e4%b8%8a%e5%90%97","migration/output/zh/custom/lsvr_kba/我可以将现有发卡帐户转移到不同的公司实体上吗/index.md",""
"97","publish","migrate","OP Card常见问题","在一个公司实体下可以创建的卡片数量是否有限制？","docs/op-card-faq/common-questions","card-quantity-limit-under-company","9","%e5%9c%a8%e4%b8%80%e4%b8%aa%e5%85%ac%e5%8f%b8%e5%ae%9e%e4%bd%93%e4%b8%8b%e5%8f%af%e4%bb%a5%e5%88%9b%e5%bb%ba%e7%9a%84%e5%8d%a1%e7%89%87%e6%95%b0%e9%87%8f%e6%98%af%e5%90%a6%e6%9c%89%e9%99%90%e5%88%b6","migration/output/zh/custom/lsvr_kba/在一个公司实体下可以创建的卡片数量是否有限制/index.md",""
"98","publish","migrate","OP Card常见问题","谁可以在OP开设发卡账户？","docs/op-card-faq/common-questions","who-can-open-op-card-account","8","%e8%b0%81%e5%8f%af%e4%bb%a5%e5%9c%a8op%e5%bc%80%e8%ae%be%e5%8f%91%e5%8d%a1%e8%b4%a6%e6%88%b7%ef%bc%9f","migration/output/zh/custom/lsvr_kba/谁可以在op开设发卡账户？/index.md",""
"99","publish","migrate","OP Card常见问题","为什么我的账户申请被拒绝？","docs/op-card-faq/common-questions","account-application-rejected","7","%e4%b8%ba%e4%bb%80%e4%b9%88%e6%88%91%e7%9a%84%e8%b4%a6%e6%88%b7%e7%94%b3%e8%af%b7%e8%a2%ab%e6%8b%92%e7%bb%9d%ef%bc%9f","migration/output/zh/custom/lsvr_kba/为什么我的账户申请被拒绝？/index.md",""
"100","publish","migrate","OP Card常见问题","悦享卡是什么？","docs/op-card-faq/common-questions","what-is-yuexiang-card","6","%e6%82%a6%e4%ba%ab%e5%8d%a1%e6%98%af%e4%bb%80%e4%b9%88%ef%bc%9f","migration/output/zh/custom/lsvr_kba/悦享卡是什么？/index.md",""
"101","publish","migrate","OP Card常见问题","单币卡是什么？","docs/op-card-faq/common-questions","what-is-single-currency-card","5","%e5%8d%95%e5%b8%81%e5%8d%a1%e6%98%af%e4%bb%80%e4%b9%88%ef%bc%9f","migration/output/zh/custom/lsvr_kba/单币卡是什么？/index.md",""
"102","publish","migrate","OP Card常见问题","OP Card是什么？","docs/op-card-faq/common-questions","what-is-op-card","4","op-card%e6%98%af%e4%bb%80%e4%b9%88%ef%bc%9f","migration/output/zh/custom/lsvr_kba/op-card是什么？/index.md",""
"103","publish","migrate","OP Card常见问题","OP Card限额是多少？","docs/op-card-faq/common-questions","op-card-limits","3","op-card%e9%99%90%e9%a2%9d%e6%98%af%e5%a4%9a%e5%b0%91%ef%bc%9f","migration/output/zh/custom/lsvr_kba/op-card限额是多少？/index.md",""
"104","publish","migrate","OP Card常见问题","交易金额限制生效规则","docs/op-card-faq/common-questions","transaction-amount-limit-rules","2","%e4%ba%a4%e6%98%93%e9%87%91%e9%a2%9d%e9%99%90%e5%88%b6%e7%94%9f%e6%95%88%e8%a7%84%e5%88%99","migration/output/zh/custom/lsvr_kba/交易金额限制生效规则/index.md",""
"105","publish","skip","ODPM后台板块操作指引","数据分析功能手册说明","docs/odpm-guide/section-guide","odpm-guide-section-guide-007","","%e6%95%b0%e6%8d%ae%e5%88%86%e6%9e%90%e5%8a%9f%e8%83%bd%e6%89%8b%e5%86%8c%e8%af%b4%e6%98%8e","migration/output/zh/custom/lsvr_kba/数据分析功能手册说明/index.md","ODPM content already migrated; sidebar position pending screenshot/order review"
"106","publish","skip","ODPM后台板块操作指引","异常交易处理说明","docs/odpm-guide/section-guide","odpm-guide-section-guide-008","","%e5%bc%82%e5%b8%b8%e4%ba%a4%e6%98%93%e5%a4%84%e7%90%86%e8%af%b4%e6%98%8e","migration/output/zh/custom/lsvr_kba/异常交易处理说明/index.md","ODPM content already migrated; sidebar position pending screenshot/order review"
"107","publish","skip","ODPM后台板块操作指引","拒付撤销核实指引","docs/odpm-guide/section-guide","odpm-guide-section-guide-009","","%e6%8b%92%e4%bb%98%e6%92%a4%e9%94%80%e6%a0%b8%e5%ae%9e%e6%8c%87%e5%bc%95","migration/output/zh/custom/lsvr_kba/拒付撤销核实指引/index.md","ODPM content already migrated; sidebar position pending screenshot/order review"
"108","publish","skip","ODPM后台板块操作指引","微信绑定指导手册","docs/odpm-guide/section-guide","odpm-guide-section-guide-010","","%e5%be%ae%e4%bf%a1%e7%bb%91%e5%ae%9a%e6%8c%87%e5%af%bc%e6%89%8b%e5%86%8c","migration/output/zh/custom/lsvr_kba/微信绑定指导手册/index.md","ODPM content already migrated; sidebar position pending screenshot/order review"
"109","publish","skip","ODPM后台板块操作指引","子账户配置指引","docs/odpm-guide/section-guide","odpm-guide-section-guide-011","","%e5%ad%90%e8%b4%a6%e6%88%b7%e9%85%8d%e7%bd%ae%e6%8c%87%e5%bc%95","migration/output/zh/custom/lsvr_kba/子账户配置指引/index.md","ODPM content already migrated; sidebar position pending screenshot/order review"
"110","publish","skip","ODPM后台板块操作指引","拒付申诉批量操作指引","docs/odpm-guide/section-guide","odpm-guide-section-guide-012","","%e6%8b%92%e4%bb%98%e7%94%b3%e8%af%89%e6%89%b9%e9%87%8f%e6%93%8d%e4%bd%9c%e6%8c%87%e5%bc%95","migration/output/zh/custom/lsvr_kba/拒付申诉批量操作指引/index.md","ODPM content already migrated; sidebar position pending screenshot/order review"
"111","publish","migrate","账户划款、提现、代付指引","OPCCOUNT操作教程","docs/payment-faq/account-transfer","opccount-operation-guide","1","opccount%e6%93%8d%e4%bd%9c%e6%95%99%e7%a8%8b","migration/output/zh/custom/lsvr_kba/opccount操作教程/index.md",""
"112","publish","skip","ODPM后台板块操作指引","ODPM小程序教程","docs/odpm-guide/section-guide","odpm","","odpm%e5%b0%8f%e7%a8%8b%e5%ba%8f%e6%95%99%e7%a8%8b","migration/output/zh/custom/lsvr_kba/odpm小程序教程/index.md","ODPM content already migrated; sidebar position pending screenshot/order review"
"113","publish","migrate","Payment收单信息更新专区","批量地址欺诈攻击分享","docs/payment-faq/info-update","bulk-address-fraud-attack","3","%e6%89%b9%e9%87%8f%e5%9c%b0%e5%9d%80%e6%ac%ba%e8%af%88%e6%94%bb%e5%87%bb%e5%88%86%e4%ba%ab","migration/output/zh/custom/lsvr_kba/批量地址欺诈攻击分享/index.md",""
"114","publish","skip","ODPM后台板块操作指引","拒付申诉资料提交指引","docs/odpm-guide/section-guide","odpm-guide-section-guide-014","","%e6%8b%92%e4%bb%98%e7%94%b3%e8%af%89%e8%b5%84%e6%96%99%e6%8f%90%e4%ba%a4%e6%8c%87%e5%bc%95","migration/output/zh/custom/lsvr_kba/拒付申诉资料提交指引/index.md","ODPM content already migrated; sidebar position pending screenshot/order review"
"115","publish","migrate","OP Card常见问题","IAM申请OPCCOUNT全球账户业务操作手册","docs/op-card-faq/common-questions","iam-opccount-global-account-application-guide","1","iam%e7%94%b3%e8%af%b7opccount%e5%85%a8%e7%90%83%e8%b4%a6%e6%88%b7%e4%b8%9a%e5%8a%a1%e6%93%8d%e4%bd%9c%e6%89%8b%e5%86%8c","migration/output/zh/custom/lsvr_kba/iam申请opccount全球账户业务操作手册/index.md",""
"116","publish","migrate","OP Card条款和条件","Terms and Conditions条款","docs/op-card-faq/terms-conditions","terms-and-conditions","1","terms-and-conditions%e6%9d%a1%e6%ac%be","migration/output/zh/custom/lsvr_kba/terms-and-conditions条款/index.md",""
"117","publish","migrate","准入与合规管理","Oceanpayment禁止和受限接入的行业","docs/compliance-certification/access-compliance","prohibited-and-restricted-businesses","1","prohibited-and-restricted-businesses","migration/output/zh/custom/lsvr_kba/prohibited-and-restricted-businesses/index.md",""
"118","publish","migrate","Payment收单常见问题","Visa VAMP考核计划","docs/payment-faq/common-questions","visa-vamp-program","10","visa-vamp%e8%80%83%e6%a0%b8%e8%ae%a1%e5%88%92","migration/output/zh/custom/lsvr_kba/visa-vamp考核计划/index.md",""
"119","publish","migrate","Payment收单常见问题","Visa VIRP规则介绍","docs/payment-faq/common-questions","visa-virp-rules","9","visa-virp%e8%a7%84%e5%88%99%e4%bb%8b%e7%bb%8d","migration/output/zh/custom/lsvr_kba/visa-virp规则介绍/index.md",""
"120","publish","migrate","Payment收单常见问题","Afterpay 限额介绍","docs/payment-faq/common-questions","afterpay-limit-introduction","8","afterpay-%e9%99%90%e9%a2%9d%e4%bb%8b%e7%bb%8d","migration/output/zh/custom/lsvr_kba/afterpay-限额介绍/index.md",""
"121","publish","migrate","Payment收单信息更新专区","日本《产品安全四法》修订：对日本市场商户的影响","docs/payment-faq/info-update","japan-product-safety-laws-update","2","%e6%97%a5%e6%9c%ac%e4%ba%a7%e5%93%81%e5%ae%89%e5%85%a8%e5%9b%9b%e6%b3%95%e4%bf%ae%e8%ae%a2%e5%af%b9%e6%97%a5%e6%9c%ac%e5%b8%82%e5%9c%ba%e5%95%86%e6%88%b7%e7%9a%84%e5%bd%b1%e5%93%8d","migration/output/zh/custom/lsvr_kba/日本产品安全四法修订对日本市场商户的影响/index.md",""
"122","publish","migrate","Payment收单信息更新专区","Trustly PIS支付发起服务退出西班牙市场","docs/payment-faq/info-update","trustly-pis-exits-spain","1","trustly-pis%e6%94%af%e4%bb%98%e6%96%b9%e5%bc%8f%e9%80%80%e5%87%ba%e8%a5%bf%e7%8f%ad%e7%89%99%e5%b8%82%e5%9c%ba","migration/output/zh/custom/lsvr_kba/trustly-pis支付方式退出西班牙市场/index.md",""
"123","publish","skip","ODPM后台板块操作指引","ODPM二次验证说明","docs/odpm-guide/section-guide","odpm","","odpm%e4%ba%8c%e6%ac%a1%e9%aa%8c%e8%af%81%e8%af%b4%e6%98%8e","migration/output/zh/custom/lsvr_kba/odpm二次验证说明/index.md","ODPM content already migrated; sidebar position pending screenshot/order review"
"124","publish","migrate","Payment收单常见问题","MasterCard 潜在欺诈商户管控规则介绍","docs/payment-faq/common-questions","mastercard-potential-scam-merchant-monitoring","7","mastercard-potential-scam-merchant-monitoring","migration/output/zh/custom/lsvr_kba/mastercard-potential-scam-merchant-monitoring/index.md",""
"125","publish","migrate","Payment收单常见问题","Bancontact品牌升级的相关事宜","docs/payment-faq/common-questions","bancontact-brand-upgrade","6","bancontact%e5%93%81%e7%89%8c%e5%8d%87%e7%ba%a7%e7%9a%84%e7%9b%b8%e5%85%b3%e4%ba%8b%e5%ae%9c","migration/output/zh/custom/lsvr_kba/bancontact品牌升级的相关事宜/index.md",""
"126","publish","migrate","Payment收单常见问题","受管控国家、地区与交易币种清单","docs/payment-faq/common-questions","restricted-countries-regions-currencies","5","%e5%88%b6%e8%a3%81%e5%9b%bd%e5%ae%b6%e3%80%81%e5%9c%b0%e5%8c%ba%e3%80%81%e4%ba%a4%e6%98%93%e5%b8%81%e7%a7%8d%e6%b8%85%e5%8d%95","migration/output/zh/custom/lsvr_kba/制裁国家、地区、交易币种清单/index.md",""
"127","publish","migrate","Payment收单常见问题","Visa、MasterCard退款处理规则更新","docs/payment-faq/common-questions","visa-mastercard-refund-rules-update","4","visa%e3%80%81mastercard%e9%80%80%e6%ac%be%e5%a4%84%e7%90%86%e8%a7%84%e5%88%99%e6%9b%b4%e6%96%b0","migration/output/zh/custom/lsvr_kba/visa、mastercard退款处理规则更新/index.md",""
"128","publish","migrate","Payment收单常见问题","Klarna 争议生命周期介绍","docs/payment-faq/common-questions","klarna-dispute-lifecycle","3","klarna-%e4%ba%89%e8%ae%ae%e7%94%9f%e5%91%bd%e5%91%a8%e6%9c%9f%e4%bb%8b%e7%bb%8d","migration/output/zh/custom/lsvr_kba/klarna-争议生命周期介绍/index.md",""
"129","publish","migrate","OPCard 支持Google Pay FAQ","OPCard 是否支持 Google Pay？","docs/op-card-faq/google-pay-faq","opcard-google-pay-support","9","opcard-%e6%98%af%e5%90%a6%e6%94%af%e6%8c%81-google-pay%ef%bc%9f","migration/output/zh/custom/lsvr_kba/opcard-是否支持-google-pay？/index.md",""
"130","publish","migrate","OPCard 支持Google Pay FAQ","如何将 OPCard 添加到 Google Wallet？","docs/op-card-faq/google-pay-faq","add-opcard-to-google-wallet","8","%e5%a6%82%e4%bd%95%e5%b0%86-opcard-%e6%b7%bb%e5%8a%a0%e5%88%b0-google-wallet%ef%bc%9f","migration/output/zh/custom/lsvr_kba/如何将-opcard-添加到-google-wallet？/index.md",""
"131","publish","migrate","OPCard 支持Google Pay FAQ","OPCard 支持哪些支付场景？","docs/op-card-faq/google-pay-faq","opcard-google-pay-scenarios","7","opcard-%e6%94%af%e6%8c%81%e5%93%aa%e4%ba%9b%e6%94%af%e4%bb%98%e5%9c%ba%e6%99%af%ef%bc%9f","migration/output/zh/custom/lsvr_kba/opcard-支持哪些支付场景？/index.md",""
"132","publish","migrate","OPCard 支持Google Pay FAQ","是否可以在海外使用？","docs/op-card-faq/google-pay-faq","google-pay-overseas-use","6","%e6%98%af%e5%90%a6%e5%8f%af%e4%bb%a5%e5%9c%a8%e6%b5%b7%e5%a4%96%e4%bd%bf%e7%94%a8%ef%bc%9f","migration/output/zh/custom/lsvr_kba/是否可以在海外使用？/index.md",""
"133","publish","migrate","OPCard 支持Google Pay FAQ","使用 Google Pay 是否需要实体卡？","docs/op-card-faq/google-pay-faq","google-pay-physical-card","5","%e4%bd%bf%e7%94%a8-google-pay-%e6%98%af%e5%90%a6%e9%9c%80%e8%a6%81%e5%ae%9e%e4%bd%93%e5%8d%a1%ef%bc%9f","migration/output/zh/custom/lsvr_kba/使用-google-pay-是否需要实体卡？/index.md",""
"134","publish","migrate","OPCard 支持Google Pay FAQ","使用 Google Pay 需要满足什么条件？","docs/op-card-faq/google-pay-faq","google-pay-requirements","4","%e4%bd%bf%e7%94%a8-google-pay-%e9%9c%80%e8%a6%81%e6%bb%a1%e8%b6%b3%e4%bb%80%e4%b9%88%e6%9d%a1%e4%bb%b6%ef%bc%9f","migration/output/zh/custom/lsvr_kba/使用-google-pay-需要满足什么条件？/index.md",""
"135","publish","migrate","OPCard 支持Google Pay FAQ","为什么无法绑定 OPCard 到 Google Wallet？","docs/op-card-faq/google-pay-faq","cannot-bind-opcard-to-google-wallet","3","%e4%b8%ba%e4%bb%80%e4%b9%88%e6%97%a0%e6%b3%95%e7%bb%91%e5%ae%9a-opcard-%e5%88%b0-google-wallet%ef%bc%9f","migration/output/zh/custom/lsvr_kba/为什么无法绑定-opcard-到-google-wallet？/index.md",""
"136","publish","migrate","OPCard 支持Google Pay FAQ","使用 Google Pay 是否安全？","docs/op-card-faq/google-pay-faq","google-pay-security","2","%e4%bd%bf%e7%94%a8-google-pay-%e6%98%af%e5%90%a6%e5%ae%89%e5%85%a8%ef%bc%9f","migration/output/zh/custom/lsvr_kba/使用-google-pay-是否安全？/index.md",""
"137","publish","migrate","OPCard 支持Google Pay FAQ","使用 Google Pay 是否会产生额外费用？","docs/op-card-faq/google-pay-faq","google-pay-extra-fees","1","%e4%bd%bf%e7%94%a8-google-pay-%e6%98%af%e5%90%a6%e4%bc%9a%e4%ba%a7%e7%94%9f%e9%a2%9d%e5%a4%96%e8%b4%b9%e7%94%a8%ef%bc%9f","migration/output/zh/custom/lsvr_kba/使用-google-pay-是否会产生额外费用？/index.md",""
"138","publish","migrate","Payment收单常见问题","交易/结算流程中的币种换算说明","docs/payment-faq/common-questions","currency-conversion-in-transaction-settlement","2","%e3%80%90%e8%b4%a6%e6%88%b7%e5%90%8e%e5%8f%b0%e3%80%91%e4%ba%a4%e6%98%93-%e7%bb%93%e7%ae%97%e6%b5%81%e7%a8%8b%e4%b8%ad%e7%9a%84%e5%b8%81%e7%a7%8d%e6%8d%a2%e7%ae%97%e8%af%b4%e6%98%8e","migration/output/zh/custom/lsvr_kba/【账户后台】交易-结算流程中的币种换算说明/index.md",""
"139","publish","migrate","Payment收单常见问题","商户在Oceanpayment的资金清算","docs/payment-faq/common-questions","merchant-fund-settlement-at-oceanpayment","1","%e5%95%86%e6%88%b7%e5%9c%a8oceanpayment%e7%9a%84%e8%b5%84%e9%87%91%e6%b8%85%e7%ae%97","migration/output/zh/custom/lsvr_kba/商户在oceanpayment的资金清算/index.md",""
"140","publish","skip","ODPM后台板块操作指引","ODPM合同协议签署教程","docs/odpm-guide/section-guide","odpm","","odpm%e5%90%88%e5%90%8c%e5%8d%8f%e8%ae%ae%e7%ad%be%e7%bd%b2%e6%95%99%e7%a8%8b","migration/output/zh/custom/lsvr_kba/odpm合同协议签署教程/index.md","ODPM content already migrated; sidebar position pending screenshot/order review"
"141","trash","skip","OP Card常见问题","实际扣款金额与处理中金额有可能会不同吗？","docs/op-card-faq/common-questions","actual-and-processing-amount-difference","26","%e5%ae%9e%e9%99%85%e6%89%a3%e6%ac%be%e9%87%91%e9%a2%9d%e4%b8%8e%e5%a4%84%e7%90%86%e4%b8%ad%e9%87%91%e9%a2%9d%e6%9c%89%e5%8f%af%e8%83%bd%e4%bc%9a%e4%b8%8d%e5%90%8c%e5%90%97%ef%bc%9f-2__trashed","migration/output/zh/custom/lsvr_kba/实际扣款金额与处理中金额有可能会不同吗？-3/index.md","status=trash"
"142","trash","skip","OP Card常见问题","我可以在交易处理中时停止或取消卡交易吗？","docs/op-card-faq/common-questions","stop-or-cancel-processing-card-transaction","21","%e6%88%91%e5%8f%af%e4%bb%a5%e5%9c%a8%e4%ba%a4%e6%98%93%e5%a4%84%e7%90%86%e4%b8%ad%e6%97%b6%e5%81%9c%e6%ad%a2%e6%88%96%e5%8f%96%e6%b6%88%e5%8d%a1%e4%ba%a4%e6%98%93%e5%90%97%ef%bc%9f__trashed","migration/output/zh/custom/lsvr_kba/我可以在交易处理中时停止或取消卡交易吗？-2/index.md","status=trash"
"143","trash","skip","OP Card常见问题","为什么我的卡支付失败？","docs/op-card-faq/common-questions","card-payment-failed","19","%e4%b8%ba%e4%bb%80%e4%b9%88%e6%88%91%e7%9a%84%e5%8d%a1%e6%94%af%e4%bb%98%e5%a4%b1%e8%b4%a5%ef%bc%9f__trashed","migration/output/zh/custom/lsvr_kba/为什么我的卡支付失败？-2/index.md","status=trash"
