old_category,old_category_order,source_order,title,current_action,target_path,attachment_title,attachment_type,attachment_url,duplicate_check,ops_result,ops_notes
Account Login FAQs,1,1,ODPM Digital Platform Guideline,skip-review,i18n/en/docusaurus-plugin-content-docs/current/odpm-guide/section-guide/digital-platform-guidelines-manual/index.mdx,Oceanpayment ODPM Digital Platform Guidelines Manual,pdf,https://support.oceanpayment.com/en/wp-content/uploads/2025/06/Oceanpayment-ODPM%20Digital%20Platform%20Guidelines%20Manual.pdf,英文 ODPM 已有 digital-platform-guidelines-manual，不重复导入。,,
Credit Card Acquiring FAQs,2,5,Merchant Batch Representment Submission Guide,skip-review,,Oceanpayment-Merchant Batch Representment Submission Guide,pdf,http://support.oceanpayment.com/en/wp-content/uploads/2025/10/Oceanpayment-Merchant-Batch-Representment-Submission-Guide.pdf,ODPM/representment operation attachment. Review against existing migrated ODPM manuals before adding.,,
Credit Card Acquiring FAQs,3,6,How to reduce the incidence of fraudulent and chargeback transactions?,english-only,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/reduce-fraudulent-chargeback-transactions/index.mdx,Oceanpayment - Risk Control - Prevention and Control of Fraudulent Transactions 2022-02-24,pdf,https://support.oceanpayment.com/en/wp-content/uploads/2025/06/Oceanpayment-Risk-Control-Prevention-and-Control-of-Fraudulent-Transactions-2022-02-24.pdf,新增英文-only 页面，需确认附件是否仍需保留。,,
Credit Card Acquiring FAQs,4,7,How to add a blacklist or whitelist in ODPM?,skip-review,,ODPM Digital Platform Blacklist Operation Manual 2025 06 06,pdf,https://support.oceanpayment.com/en/wp-content/uploads/2025/06/ODPM-Digital-Platform-Blacklist-Operation-Manual-2025-06-06.pdf,英文 ODPM 已有 blacklist-operation-manual / whitelist-operation-manual。,,
Credit Card Acquiring FAQs,4,7,How to add a blacklist or whitelist in ODPM?,skip-review,,ODPM Digital Platform Whitelist Operation Manual 2025 06 06,pdf,https://support.oceanpayment.com/en/wp-content/uploads/2025/06/ODPM-Digital-Platform-Whitelist-Operation-Manual-2025-06-06.pdf,英文 ODPM 已有 blacklist-operation-manual / whitelist-operation-manual。,,
Credit Card Acquiring FAQs,8,11,Mastercard Chargeback Assessment Criteria,migrated,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/info-update/mastercard-chargeback-assessment-criteria/index.mdx,【风控】Oceanpayment——MasterCard Chargeback Assessment Standards 2025-04-10,pdf,https://support.oceanpayment.com/en/wp-content/uploads/2025/05/【风控】Oceanpayment——MasterCard-Chargeback-Assessment-Standards-2025-04-10.pdf,Rule update; place in info update section.,,
Credit Card Acquiring FAQs,9,12,Why do I get high-risk order alert emails? How do I handle it?,migrated,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/high-risk-order-alert-email/index.mdx,ODPM Digital Platform High Fraud Risk Alert Manual 2025 04 10,pdf,https://support.oceanpayment.com/en/wp-content/uploads/2025/05/ODPM-Digital-Platform-High-Fraud-Risk-Alert-Manual-2025-04-10.pdf,Matches migrated Chinese payment FAQ.,,
Credit Card Acquiring FAQs,10,13,What is a Chargeback/Retrieval/Fraud order? How should it be handled?,migrated,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/chargeback-fraud-retrieval-orders/index.mdx,Oceanpayment-Chargeback Process Guidelines,pdf,https://support.oceanpayment.com/en/wp-content/uploads/2025/05/Oceanpayment-Chargeback-Process-Guidelines.pdf,Matches migrated Chinese payment FAQ.,,
Credit Card Acquiring FAQs,10,13,What is a Chargeback/Retrieval/Fraud order? How should it be handled?,migrated,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/chargeback-fraud-retrieval-orders/index.mdx,Oceanpayment-Retrieval Process Guidelines,pdf,https://support.oceanpayment.com/en/wp-content/uploads/2025/05/Oceanpayment-Retrieval-Process-Guidelines.pdf,Matches migrated Chinese payment FAQ.,,
Credit Card Acquiring FAQs,10,13,What is a Chargeback/Retrieval/Fraud order? How should it be handled?,migrated,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/chargeback-fraud-retrieval-orders/index.mdx,Oceanpayment-Fraud process Guidelines,pdf,https://support.oceanpayment.com/en/wp-content/uploads/2025/05/Oceanpayment-Fraud-process-Guidelines.pdf,Matches migrated Chinese payment FAQ.,,
Credit Card Acquiring FAQs,11,14,Update on Mastercard Chargeback Reasons,migrated,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/info-update/mastercard-chargeback-reason-update/index.mdx,Update on Mastercard Chargeback Reasons,pdf,https://support.oceanpayment.com/en/wp-content/uploads/2025/04/Update-on-Mastercard-Chargeback-Reasons.pdf,Rule update; place in info update section.,,
Credit Card Acquiring FAQs,12,15,Recurring Payment Introduction,migrated,i18n/en/docusaurus-plugin-content-docs/current/products-services/oceanpayment-products/oceanpayment-recurring-introduction/index.mdx,Oceanpayment Recurring Payment Introduction 2025-04-03,pdf,https://support.oceanpayment.com/en/wp-content/uploads/2025/04/Oceanpayment-Recurring-Payment-Introduction-2025-04-03.pdf,Product/service introduction.,,
Credit Card Acquiring FAQs,13,16,Implementation of Japan Credit Card Security Guidelines,migrated,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/info-update/japan-credit-card-security-guidelines-5/index.mdx,Implementation of Japan Credit Card Security Guidelines 5.0,pdf,https://support.oceanpayment.com/en/wp-content/uploads/2025/03/Implementation-of-Japan-Credit-Card-Security-Guidelines-5.0.pdf,Rule update; place in info update section.,,
Credit Card Acquiring FAQs,14,17,Visa’s monitoring programs updated-VAMP Enhancements and Retirement of VDMP and VFMP,migrated,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/info-update/visa-vamp-policy/index.mdx,Oceanpayment VAMP Enhancements and Retirement of VDMP and VFMP 2025-06-25,pdf,http://support.oceanpayment.com/en/wp-content/uploads/2025/01/Oceanpayment-VAMP-Enhancements-and-Retirement-of-VDMP-and-VFMP-2025-06-25.pdf,Rule update; maps to the migrated Chinese VAMP policy page.,,
Funding Operation FAQs,3,20,How do I keep track of my account funds and reconcile them?,migrated,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/account-transfer/account-funds-and-reconciliation/index.mdx,Guideline of Reconciliation,pdf,https://support.oceanpayment.com/en/wp-content/uploads/2025/05/Guideline-of-Reconciliation.pdf,Account/fund operation FAQ.,,
Funding Operation FAQs,6,23,OPASST Guideline,english-only,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/account-transfer/opasst-guideline/index.mdx,Oceanpayment-OPASST Guideline,pdf,https://support.oceanpayment.com/en/wp-content/uploads/2025/04/Oceanpayment-OPASST-Guideline.pdf,新增英文-only 页面；中文“成功交易资金如何进行结算？”已有 OPASST 附件链接，需运营确认是否重复。,,
Funding Operation FAQs,7,24,Guideline of OPCCOUNT,skip-existing,i18n/en/docusaurus-plugin-content-docs/current/odpm-guide/section-guide/opccount-guideline/index.mdx,Guideline of OPCCOUNT,pdf,https://support.oceanpayment.com/en/wp-content/uploads/2025/04/Guideline-of-OPCCOUNT.pdf,已存在 Guideline of OPCCOUNT-New，本轮不重复导入旧附件版。,,
Local Payments Acquiring FAQs,2,26,Klarna Merchant Operations Guide,skip-review,i18n/en/docusaurus-plugin-content-docs/current/odpm-guide/section-guide/klarna-payment-operations-guide/index.mdx,Ocenapayment ODPM - Operations Guide for Klarna Payment Method,docx,https://support.oceanpayment.com/en/wp-content/uploads/2025/06/Ocenapayment-ODPM-Operations-Guide-for-Klarna-Payment-Method.docx,英文 ODPM 已有 klarna-payment-operations-guide。,,
Local Payments Acquiring FAQs,3,27,UK Regulatory Requirements for Advertising Klarna,migrated,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/uk-klarna-advertising-requirements/index.mdx,Oceanpayment——UK-regulatory-requirements-for-advertising-Klarna-240131,pdf,http://support.oceanpayment.com/en/wp-content/uploads/2025/06/Oceanpayment——UK-regulatory-requirements-for-advertising-Klarna-240131.pdf,Matches migrated Chinese payment FAQ.,,
Local Payments Acquiring FAQs,4,28,Klarna Norway Newsletter Update,migrated,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/klarna-norway-market-update/index.mdx,Klarna Norway Newsletter Update FAQ,docx,https://support.oceanpayment.com/wp-content/uploads/2024/08/Klarna-Norway-Newsletter-Update-FAQ.docx,Matches migrated Chinese payment FAQ.,,
Local Payments Acquiring FAQs,5,29,Klarna Dispute Resolution Guideline,migrated,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/klarna-dispute-improvement-guide/index.mdx,Oceanpayment-Klarna Dispute Resolution Guideline,pdf,https://support.oceanpayment.com/en/wp-content/uploads/2025/05/Oceanpayment-Klarna-Dispute-Resolution-Guideline.pdf,Matches migrated Chinese payment FAQ.,,
Local Payments Acquiring FAQs,6,30,Klarna’s APR Range Update for Consumers,english-only,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/klarna-apr-range-update-for-consumers/index.mdx,Oceanpayment Klarnas APR Range Update for Consumers,pdf,https://support.oceanpayment.com/en/wp-content/uploads/2025/04/Oceanpayment-Klarnas-APR-Range-Update-for-Consumers.pdf,新增英文-only 页面，需确认附件是否仍需保留。,,
Local Payments Acquiring FAQs,7,31,Klarna Bill Sample on the Customer,migrated,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/klarna-consumer-bill-sample/index.mdx,Klarna Bill Sample on the Customer-End 2025-04-03,pdf,https://support.oceanpayment.com/en/wp-content/uploads/2025/04/Klarna-Bill-Sample-on-the-Customer-End-2025-04-03.pdf,Matches migrated Chinese payment FAQ.,,
Local Payments Acquiring FAQs,8,32,iDEAL Operational Details For The Merchant Side,migrated,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/ideal-merchant-operation-notes/index.mdx,iDEAL Operational Details For The Merchant Side,pdf,https://support.oceanpayment.com/en/wp-content/uploads/2025/03/iDEAL-Operational-Details-For-The-Merchant-Side-1.pdf,Matches migrated Chinese payment FAQ.,,
OP Card,1,33,Terms and Conditions,migrated,i18n/en/docusaurus-plugin-content-docs/current/op-card-faq/terms-conditions/terms-and-conditions/index.mdx,Terms and Conditions of the Oceanpayment Card_20251128163242,pdf,http://support.oceanpayment.com/en/wp-content/uploads/2025/12/Terms-and-Conditions-of-the-Oceanpayment-Card_20251128163242.pdf,OP Card terms page.,,
Products and Services,1,34,Oceanpayment Introduction of Prohibited Business,migrated,i18n/en/docusaurus-plugin-content-docs/current/compliance-certification/access-compliance/prohibited-and-restricted-businesses/index.mdx,Oceanpayment——Introduction of Prohibited Business,pdf,https://support.oceanpayment.com/en/wp-content/uploads/2025/06/Oceanpayment——Introduction-of-Prohibited-Business.pdf,"Compliance/access content, not product-service content.",,
