"index","oldCategory","oldTitle","attachmentTitle","currentDoc","docLine","oldUrl","localBackup","reviewCopy","size"
"1","企业认证常见问题1","企业认证资料说明","IAM-Oceanpayment香港公司企业认证资料要求","docs/compliance-certification/enterprise-certification-faq/enterprise-certification-materials/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/04/V2_附件1-IAM__-__Oceanpayment__香港公司企业认证资料要求-20250417.pdf","static/files/help-center/wordpress-attachments/enterprise-certification-materials/attachment-01-6.pdf","migration/review/attachments/01 - 企业认证常见问题1 - 企业认证资料说明 - IAM-Oceanpayment香港公司企业认证资料要求.pdf","303254"
"2","企业认证常见问题1","企业认证资料说明","IAM-Oceanpayment大陆公司企业认证资料要求","docs/compliance-certification/enterprise-certification-faq/enterprise-certification-materials/index.mdx","8","https://support.oceanpayment.com/wp-content/uploads/2026/06/OPCard_企业认证资料清单_大陆公司-20260609.pdf","static/files/help-center/wordpress-attachments/enterprise-certification-materials/attachment-02-8.pdf","migration/review/attachments/02 - 企业认证常见问题1 - 企业认证资料说明 - IAM-Oceanpayment大陆公司企业认证资料要求.pdf","413525"
"3","客户服务常见问题","Oceanpayment的账户后台，支持多账户登陆吗？","Oceanpayment ODPM-子账户配置指引","docs/customer-service/customer-service-faq/multiple-account-logins/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2021/11/Oceanpayment-ODPM-子账户配置指引.pdf","static/files/help-center/wordpress-attachments/multiple-account-logins/attachment-03-6.pdf","migration/review/attachments/03 - 客户服务常见问题 - Oceanpayment的账户后台，支持多账户登陆吗？ - Oceanpayment ODPM-子账户配置指引.pdf","993206"
"4","OP Card常见问题","IAM申请OPCCOUNT全球账户业务操作手册","IAM申请OPCCOUNT全球账户业务操作手册","docs/op-card-faq/common-questions/iam-opccount-global-account-application-guide/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2026/04/IAM申请OPCCOUNT全球账户业务操作手册-2026年4月20日.pdf","static/files/help-center/wordpress-attachments/iam-opccount-global-account-application-guide/attachment-04-6.pdf","migration/review/attachments/04 - OP Card常见问题 - IAM申请OPCCOUNT全球账户业务操作手册 - IAM申请OPCCOUNT全球账户业务操作手册.pdf","953882"
"5","OP Card常见问题","OP Card业务申请资料说明","IAM-Oceanpayment Card香港公司发卡实业行业申请资料要求","docs/op-card-faq/common-questions/op-card-application-materials/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/04/附件2-IAM__-__Oceanpayment__Card香港公司发卡业务申请资料要求-20250417.pdf","static/files/help-center/wordpress-attachments/op-card-application-materials/attachment-05-6.pdf","migration/review/attachments/05 - OP Card常见问题 - OP Card业务申请资料说明 - IAM-Oceanpayment Card香港公司发卡实业行业申请资料要求.pdf","433370"
"6","OP Card常见问题","OP Card业务申请资料说明","IAM-Oceanpayment Card香港公司发卡广告业务申请资料要求","docs/op-card-faq/common-questions/op-card-application-materials/index.mdx","8","https://support.oceanpayment.com/wp-content/uploads/2026/04/OPCard_发卡业务申请资料清单_（广告业务）-20250603.pdf","static/files/help-center/wordpress-attachments/op-card-application-materials/attachment-06-8.pdf","migration/review/attachments/06 - OP Card常见问题 - OP Card业务申请资料说明 - IAM-Oceanpayment Card香港公司发卡广告业务申请资料要求.pdf","456085"
"7","OP Card常见问题","OP Card禁入行业清单","禁入行业清单","docs/op-card-faq/common-questions/op-card-prohibited-industries/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/04/禁入行业清单-20250423.pdf","static/files/help-center/wordpress-attachments/op-card-prohibited-industries/attachment-07-6.pdf","migration/review/attachments/07 - OP Card常见问题 - OP Card禁入行业清单 - 禁入行业清单.pdf","1335943"
"8","OP Card常见问题","OPCard操作教程","ODPM OP Card Oceanpayment 操作指引手册2025-8-5","docs/op-card-faq/common-questions/opcard-operation-guide/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/06/ODPM-OP-Card-Oceanpayment-操作指引手册2025-8-5.pdf","static/files/help-center/wordpress-attachments/opcard-operation-guide/attachment-08-6.pdf","migration/review/attachments/08 - OP Card常见问题 - OPCard操作教程 - ODPM OP Card Oceanpayment 操作指引手册2025-8-5.pdf","3700676"
"9","OP Card条款和条件","Terms and Conditions条款","Oceanpayment 卡条款和条件_20251128163241(1)","docs/op-card-faq/terms-conditions/terms-and-conditions/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/11/Oceanpayment-卡条款和条件_202511281632411.pdf","static/files/help-center/wordpress-attachments/terms-and-conditions/attachment-09-6.pdf","migration/review/attachments/09 - OP Card条款和条件 - Terms and Conditions条款 - Oceanpayment 卡条款和条件_20251128163241(1).pdf","186400"
"10","账户划款、提现、代付指引","如何掌握账户资金动态并进行对账？","Oceanpayment对账说明","docs/payment-faq/account-transfer/account-funds-and-reconciliation/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2021/11/Oceanpayment对账说明-1.pdf","static/files/help-center/wordpress-attachments/account-funds-and-reconciliation/attachment-10-6.pdf","migration/review/attachments/10 - 账户划款、提现、代付指引 - 如何掌握账户资金动态并进行对账？ - Oceanpayment对账说明.pdf","2291481"
"11","账户划款、提现、代付指引","成功交易资金如何进行结算？","OPASST平台操作指引-2025-8-19","docs/payment-faq/account-transfer/successful-transaction-settlement/index.mdx","14","https://support.oceanpayment.com/wp-content/uploads/2021/11/OPASST平台操作指引-2025-8-19.pdf","static/files/help-center/wordpress-attachments/successful-transaction-settlement/attachment-11-14.pdf","migration/review/attachments/11 - 账户划款、提现、代付指引 - 成功交易资金如何进行结算？ - OPASST平台操作指引-2025-8-19.pdf","4292021"
"12","Payment收单常见问题","Afterpay针对Shopify网站的支付插件安装介绍","Afterpay针对Shopify网站的支付插件安装介绍","docs/payment-faq/common-questions/afterpay-shopify-plugin-installation/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/03/Afterpay针对Shopify网站的支付插件安装介绍.pdf","static/files/help-center/wordpress-attachments/afterpay-shopify-plugin-installation/attachment-12-6.pdf","migration/review/attachments/12 - Payment收单常见问题 - Afterpay针对Shopify网站的支付插件安装介绍 - Afterpay针对Shopify网站的支付插件安装介绍.pdf","415181"
"13","Payment收单常见问题","什么是拒付/伪冒/调单订单？该如何处理？","Oceanpayment-ODPM数字平台操作指引手册-异常交易管理","docs/payment-faq/common-questions/chargeback-fraud-retrieval-orders/index.mdx","12","https://support.oceanpayment.com/wp-content/uploads/2026/06/Oceanpayment-ODPM数字平台操作指引手册-异常交易管理.pdf","static/files/help-center/wordpress-attachments/chargeback-fraud-retrieval-orders/attachment-13-12.pdf","migration/review/attachments/13 - Payment收单常见问题 - 什么是拒付-伪冒-调单订单？该如何处理？ - Oceanpayment-ODPM数字平台操作指引手册-异常交易管理.pdf","4164797"
"14","Payment收单常见问题","为什么会收到高风险订单警报邮件？如何处理？","【ODPM数字平台】Oceanpayment——高欺诈风险警报操作手册 2025-07-25","docs/payment-faq/common-questions/high-risk-order-alert-email/index.mdx","8","https://support.oceanpayment.com/wp-content/uploads/2023/11/【ODPM数字平台】Oceanpayment——高欺诈风险警报操作手册-2025-07-25.pdf","static/files/help-center/wordpress-attachments/high-risk-order-alert-email/attachment-14-8.pdf","migration/review/attachments/14 - Payment收单常见问题 - 为什么会收到高风险订单警报邮件？如何处理？ - 【ODPM数字平台】Oceanpayment——高欺诈风险警报操作手册 2025-07-25.pdf","1256675"
"15","Payment收单常见问题","iDEAL商户运营端注意事项","iDEAL商户运营端注意事项","docs/payment-faq/common-questions/ideal-merchant-operation-notes/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/03/iDEAL商户运营端注意事项.pdf","static/files/help-center/wordpress-attachments/ideal-merchant-operation-notes/attachment-15-6.pdf","migration/review/attachments/15 - Payment收单常见问题 - iDEAL商户运营端注意事项 - iDEAL商户运营端注意事项.pdf","941904"
"16","Payment收单常见问题","Klarna消费者端账单展示","Klarna消费者端账单展示","docs/payment-faq/common-questions/klarna-consumer-bill-sample/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/04/Klarna消费者端账单展示-2025-04-03.pdf","static/files/help-center/wordpress-attachments/klarna-consumer-bill-sample/attachment-16-6.pdf","migration/review/attachments/16 - Payment收单常见问题 - Klarna消费者端账单展示 - Klarna消费者端账单展示.pdf","377815"
"17","Payment收单常见问题","Klarna挪威市场更新","Klarna Norway–FAQ-20240808","docs/payment-faq/common-questions/klarna-norway-market-update/index.mdx","18","https://support.oceanpayment.com/wp-content/uploads/2024/08/Klarna-Norway–FAQ-20240808.pdf","static/files/help-center/wordpress-attachments/klarna-norway-market-update/attachment-17-18.pdf","migration/review/attachments/17 - Payment收单常见问题 - Klarna挪威市场更新 - Klarna Norway–FAQ-20240808.pdf","952063"
"18","Payment收单常见问题","订单被风控拦截显示10000：Payment is declined，该如何处理？","Ocenapayment ODPM数字平台——白名单操作手册 2025-07-25","docs/payment-faq/common-questions/payment-declined-10000-risk-control/index.mdx","10","https://support.oceanpayment.com/wp-content/uploads/2021/11/Ocenapayment-ODPM数字平台——白名单操作手册-2025-07-25.pdf","static/files/help-center/wordpress-attachments/payment-declined-10000-risk-control/attachment-18-10.pdf","migration/review/attachments/18 - Payment收单常见问题 - 订单被风控拦截显示10000：Payment is declined，该如何处理？ - Ocenapayment ODPM数字平台——白名单操作手册 2025-07-25.pdf","1215275"
"19","Payment收单常见问题","英国对 Klarna 广告的监管要求","英国对 Klarna 广告的监管要求","docs/payment-faq/common-questions/uk-klarna-advertising-requirements/index.mdx","8","https://support.oceanpayment.com/wp-content/uploads/2024/02/Oceanpayment——英国对-Klarna-广告的监管要求-20240131.pdf","static/files/help-center/wordpress-attachments/uk-klarna-advertising-requirements/attachment-19-8.pdf","migration/review/attachments/19 - Payment收单常见问题 - 英国对 Klarna 广告的监管要求 - 英国对 Klarna 广告的监管要求.pdf","1582119"
"20","Payment收单常见问题","英国对 Klarna 广告的监管要求","UK regulatory requirements for advertising Klarna","docs/payment-faq/common-questions/uk-klarna-advertising-requirements/index.mdx","10","https://support.oceanpayment.com/wp-content/uploads/2024/02/Oceanpayment——UK-regulatory-requirements-for-advertising-Klarna-240131.pdf","static/files/help-center/wordpress-attachments/uk-klarna-advertising-requirements/attachment-20-10.pdf","migration/review/attachments/20 - Payment收单常见问题 - 英国对 Klarna 广告的监管要求 - UK regulatory requirements for advertising Klarna.pdf","1151022"
"21","Payment收单信息更新专区","批量地址欺诈攻击分享","【风控-欺诈攻击】批量地址欺诈攻击分享","docs/payment-faq/info-update/bulk-address-fraud-attack/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/10/【风控-欺诈攻击】批量地址欺诈攻击分享.pdf","static/files/help-center/wordpress-attachments/bulk-address-fraud-attack/attachment-21-6.pdf","migration/review/attachments/21 - Payment收单信息更新专区 - 批量地址欺诈攻击分享 - 【风控-欺诈攻击】批量地址欺诈攻击分享.pdf","769932"
"22","Payment收单信息更新专区","日本发布《信用卡安全指南5.0》新规定","日本发布《信用卡安全指南5.0》新规定","docs/payment-faq/info-update/japan-credit-card-security-guidelines-5/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/03/日本发布《信用卡安全指南5.0》新规定.pdf","static/files/help-center/wordpress-attachments/japan-credit-card-security-guidelines-5/attachment-22-6.pdf","migration/review/attachments/22 - Payment收单信息更新专区 - 日本发布《信用卡安全指南5.0》新规定 - 日本发布《信用卡安全指南5.0》新规定.pdf","348154"
"23","Payment收单信息更新专区","Mastercard 拒付考核标准","Mastercard 拒付考核标准","docs/payment-faq/info-update/mastercard-chargeback-assessment-criteria/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/04/Mastercard-拒付考核标准-2025-04-10.pdf","static/files/help-center/wordpress-attachments/mastercard-chargeback-assessment-criteria/attachment-23-6.pdf","migration/review/attachments/23 - Payment收单信息更新专区 - Mastercard 拒付考核标准 - Mastercard 拒付考核标准.pdf","654868"
"24","Payment收单信息更新专区","Mastercard 拒付原因更新","Mastercard 拒付原因更新","docs/payment-faq/info-update/mastercard-chargeback-reason-update/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/04/Mastercard-拒付原因更新.pdf","static/files/help-center/wordpress-attachments/mastercard-chargeback-reason-update/attachment-24-6.pdf","migration/review/attachments/24 - Payment收单信息更新专区 - Mastercard 拒付原因更新 - Mastercard 拒付原因更新.pdf","1596297"
"25","Payment收单信息更新专区","Visa拒付管控政策（VAMP）","【Oceanpayment】VAMP增强及VDMP和VFMP退出 2025-06-25","docs/payment-faq/info-update/visa-vamp-policy/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/01/【Oceanpayment】VAMP增强及VDMP和VFMP退出-2025-06-25.pdf","static/files/help-center/wordpress-attachments/visa-vamp-policy/attachment-25-6.pdf","migration/review/attachments/25 - Payment收单信息更新专区 - Visa拒付管控政策（VAMP） - 【Oceanpayment】VAMP增强及VDMP和VFMP退出 2025-06-25.pdf","1816010"
"26","Oceanpayment产品与服务","Oceanpayment Recurring知识介绍","Oceanpayment Recurring知识介绍","docs/products-services/oceanpayment-products/oceanpayment-recurring-introduction/index.mdx","6","http://support.oceanpayment.com/wp-content/uploads/2025/04/Oceanpayment-Recurring知识介绍-2025-04-03.pdf","static/files/help-center/wordpress-attachments/oceanpayment-recurring-introduction/attachment-26-6.pdf","migration/review/attachments/26 - Oceanpayment产品与服务 - Oceanpayment Recurring知识介绍 - Oceanpayment Recurring知识介绍.pdf","767891"